Link Text,URL
NEED FY-2026 CMT info,https://www.mynavyhr.navy.mil/References/Messages/NAVADMIN-2025/
Flank Speed,https://webmail.apps.mil/mail/
https://portal.apps.mil,https://portal.apps.mil/
DoD Safe,https://safe.apps.mil/
disa.gsd.apps@mail.mil,mailto:disa.%67sd.a%70ps@%6D%61il.mil
DOTS,https://dots.dodiis.mil/webtransfer
Reset the NMCI login counter from NVD,https://deployables4.nadsuswe.nads.navy.mil/DMT/pages/default.aspx
Navy Standard Integrated Personnel System,https://www.nsips.cloud.navy.mil
EDM,https://www.nsips.navy.mil/nsipsclo_landing/index.html
NSIPS STATUS,https://my.navy.mil/index.html
nesd@nesd-mail.onbmc.mil,mailto:nesd@nesd-mai%6C.onbmc.mil
https://nesd-dwp.onbmc.mil,https://nesd-dwp.onbmc.mil
https://nesd-dwp.onbmc.mil,https://nesd-dwp.onbmc.mil
Bupers Online,https://www.bol.navy.mil/
Navy Reserve Order Writing System,https://nrows.dc3n.navy.mil/nrows
Help Desk,https://nesd-dwp.onbmc.mil/
RESPERSMAN 1571-010,https://www.navyreserve.navy.mil/Portals/35/Documents/RESPERMAN/1500%20Inactive%20Duty%20Training%20Annual%20Training/1571-010%20Annual%20Training%20and%20Active%20Duty%20Training.pdf
form,https://private.navyreserve.navy.mil/cnrfc/N-Codes/N1/CNRFC_N1C2/COMNAVRESFORINST%2010015F%20Exhibits/Annual%20Training%20Waiver%20Request%20(NAVRES%201571_15).pdf
Defense Travel System,https://dtsproweb.defensetravel.osd.mil/dts-app/pubsite/all/view
New DTS,https://my.navsup.navy.mil/apps/sites/ccpmd_dts/
Help Accessing DTS,https://dtsproweb.defensetravel.osd.mil/dts-app/pubsite/all/first
NREL,https://locker.private.navyreserve.navy.mil/nrel/
Navy Reserve E-Lodging,https://locker.private.navyreserve.navy.mil/nrel/
ZipServe,https://locker.private.navyreserve.navy.mil/zipserve/opportunities
My Navy Portal,https://my.navy.mil/
